公主坟-万寿路,"[26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 278, 741, 2260, 4726, 6354, 5953, 3793, 2961, 2213, 2074, 2046, 1883, 1923, 1851, 1942, 2175, 2207, 2253, 2360, 2786, 3063, 3937, 5556, 9426, 12977, 14155, 10811, 6255, 3857, 3052, 2812, 2759, 2178, 1804, 988, 327]",公主坟,116.3052,39.9054,万寿路,116.2899,39.9054,Line1
公主坟-军事博物馆,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 4, 191, 608, 1817, 5293, 10582, 16559, 18005, 10022, 6001, 3739, 2870, 2401, 2144, 2028, 2109, 2077, 2117, 1927, 2071, 1879, 1839, 1804, 2153, 2595, 3572, 4580, 4414, 3462, 2335, 1476, 1189, 1140, 971, 850, 1287, 1864, 404]",公主坟,116.3052,39.9054,军事博物馆,116.3163,39.9057,Line1
军事博物馆-公主坟,"[28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 80, 277, 707, 2091, 4380, 5988, 5642, 3588, 2858, 2102, 2048, 1996, 1906, 1926, 1884, 1964, 2150, 2176, 2254, 2412, 2691, 3067, 3921, 5459, 9339, 12569, 13406, 10301, 5774, 3562, 2876, 2673, 2574, 2036, 1766, 989, 333]",军事博物馆,116.3163,39.9057,公主坟,116.3052,39.9054,Line1
军事博物馆-木樨地,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 4, 199, 694, 1840, 5332, 10844, 17012, 18901, 10905, 6729, 4374, 3308, 2888, 2590, 2378, 2494, 2470, 2561, 2392, 2525, 2300, 2232, 2250, 2572, 3005, 4149, 5289, 5117, 4060, 2812, 1723, 1336, 1291, 1064, 1034, 1334, 1793, 445]",军事博物馆,116.3163,39.9057,木樨地,116.3306,39.9059,Line1
木樨地-军事博物馆,"[27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 80, 303, 828, 2271, 4829, 6610, 6297, 3987, 3237, 2488, 2406, 2354, 2227, 2266, 2172, 2243, 2455, 2509, 2558, 2715, 2993, 3480, 4335, 5828, 9484, 12643, 13884, 10976, 6462, 4147, 3171, 2967, 2823, 2243, 1956, 1090, 374]",木樨地,116.3306,39.9059,军事博物馆,116.3163,39.9057,Line1
木樨地-南礼士路,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 196, 682, 1821, 5160, 10512, 16968, 19118, 11031, 6873, 4462, 3394, 2973, 2682, 2451, 2553, 2547, 2628, 2491, 2625, 2432, 2366, 2397, 2746, 3357, 4809, 6131, 5864, 4486, 3021, 1849, 1400, 1393, 1128, 1075, 1334, 1810, 456]",木樨地,116.3306,39.9059,南礼士路,116.3471,39.9053,Line1
南礼士路-木樨地,"[27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 84, 319, 943, 2713, 5929, 7694, 6967, 4328, 3418, 2628, 2522, 2454, 2272, 2318, 2253, 2319, 2556, 2598, 2645, 2737, 3037, 3475, 4376, 5809, 9372, 12661, 13979, 11109, 6530, 4188, 3240, 2987, 2861, 2294, 1965, 1114, 367]",南礼士路,116.3471,39.9053,木樨地,116.3306,39.9059,Line1
南礼士路-复兴门,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 188, 668, 1723, 4896, 10188, 16746, 18854, 10898, 6948, 4574, 3507, 3093, 2790, 2538, 2677, 2657, 2735, 2616, 2754, 2571, 2568, 2665, 3086, 3662, 5476, 7186, 6928, 5224, 3341, 2065, 1537, 1529, 1296, 1179, 1341, 1844, 470]",南礼士路,116.3471,39.9053,复兴门,116.3529,39.9054,Line1
复兴门-南礼士路,"[26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 88, 362, 1090, 3189, 6775, 9168, 8349, 5258, 3811, 2894, 2717, 2566, 2386, 2390, 2355, 2454, 2722, 2784, 2778, 2863, 3131, 3489, 4423, 5889, 9305, 12554, 13941, 11112, 6545, 4211, 3271, 3022, 2866, 2330, 2003, 1128, 364]",复兴门,116.3529,39.9054,南礼士路,116.3471,39.9053,Line1
复兴门-西单,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 136, 548, 1395, 3864, 7879, 13296, 16345, 10119, 6586, 4334, 3314, 2995, 2785, 2549, 2625, 2617, 2734, 2687, 2674, 2559, 2645, 2644, 3052, 3675, 5687, 7771, 7836, 6136, 4038, 2410, 1743, 1673, 1381, 1205, 1191, 1695, 482]",复兴门,116.3529,39.9054,西单,116.3679,39.9053,Line1
西单-复兴门,"[19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 48, 223, 906, 2844, 6424, 9344, 8204, 5000, 3550, 2681, 2428, 2284, 2091, 2075, 2066, 2196, 2392, 2495, 2479, 2531, 2712, 2995, 3700, 4705, 7016, 9791, 10962, 9240, 5504, 3637, 2716, 2567, 2407, 1953, 1659, 951, 280]",西单,116.3679,39.9053,复兴门,116.3529,39.9054,Line1
西单-天安门西,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 123, 551, 1362, 3699, 7962, 14308, 18469, 11567, 7336, 4679, 3492, 3145, 2902, 2774, 2942, 3040, 3305, 3152, 3153, 3150, 3305, 3319, 3851, 4491, 6557, 8798, 9057, 7566, 5169, 3242, 2528, 2378, 2019, 1652, 1588, 1694, 529]",西单,116.3679,39.9053,天安门西,116.3866,39.9058,Line1
天安门西-西单,"[17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54, 263, 1077, 3117, 6930, 10921, 9768, 6106, 4485, 3500, 3092, 3004, 2880, 2836, 2745, 2849, 2993, 3156, 3086, 3148, 3198, 3493, 4081, 5102, 7520, 10632, 12451, 10776, 6486, 3997, 2881, 2571, 2352, 2043, 1535, 1019, 270]",天安门西,116.3866,39.9058,西单,116.3679,39.9053,Line1
天安门西-天安门东,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 3, 108, 515, 1261, 3348, 7760, 14209, 18306, 11416, 7166, 4528, 3373, 3007, 2838, 2697, 2870, 2962, 3176, 3056, 3105, 3129, 3295, 3366, 3939, 4596, 6692, 8894, 9079, 7593, 5197, 3254, 2536, 2376, 2028, 1706, 1685, 1701, 531]",天安门西,116.3866,39.9058,天安门东,116.3981,39.9062,Line1
